function,desc,arguments
Abs,"Abs (x) -- absolute value  where x, is number. Returns a number.",TRUE
Allow_Bad," 
Allow_Bad (x, y) 
This subroutine stores the value of y into the numeric variable x.  If x is a parameter of 
a data point and y is a bad value, the store proceeds without error.  Note that if a SET 
statement had been used, an attempt to store a bad value into a parameter of a data 
point would constitute a runtime error; the store would not be completed and the 
program would abort. 
 
Note that if y is a bad value and you attempt to store it into an integer parameter x, a 
runtime error occurs and the store is not completed even if Allow_Bad is used.   
 
Note also, that use of an equivalence statement instead of a comma—e.g.,  
Allow_Bad (x=y)—results in the compiler error message ""Internal Error, Save 
source and call Honeywell.""  If this occurs, just fix the syntax error and recompile.",TRUE
Atan,"Atan (x)  -- arc tangent  where x, is number. Returns a number.",TRUE
Avg,"Avg (x, y, ...) -- average  where x, is number. Returns a number.
Avg (x) -- average where x is an array. Returns a number.",TRUE
BKG_Change_Priority,"BKG_Change_Priority (p) 
This subroutine permits background CL programs to vary their priority (where p is a 
$BKGPRTY enumeration value of LOW, MEDIUM, or HIGH).  Background CL 
programs always start at HIGH priority; however, this priority is lower than all other 
tasks in the AM (i.e., lower than checkpointing, point building, and CL linking). 
 
By changing the priority of a Background CL Block while it is running to HIGH, that 
block—once initiated—will run from beginning to end without being interrupted by 
another background task set to MEDIUM or LOW priority.  The background 
executive resets the background priority to HIGH on entry and exit of the CL. 
 
If the CL block is already at the priority being requested, there is no error.  
BKG_Change_Priority aborts the CL on these errors: 
1) request to set priority is not successful (error1) 
2) request value is not LOW, MEDIUM, or HIGH (range) ",TRUE
BKG_Delay,"BKG_Delay (t) 
This subroutine sets a delay time, in seconds, for a Background CL Block.  The 
minimum delay interval is zero; the maximum is one hour.  A zero delay length causes 
the Background CL Block to stop running for as short a time as the system will allow. 
 
A CL abort check is performed at 5 second intervals during the delay.  BKG_Delay 
aborts the CL for these reasons: 
1) the delay time is greater than one hour (range). 
2) system delay error (error1). 
3) operator abort (abort). ",TRUE
BKG_Switchover_Restart,"This function is used to detect switchover and program restart in the backup AM.  If 
CL is running on a point when a failure of the primary AM occurs, the point's CLs are 
re-queued (restarted) in the backup.  BKG_Switchover_Restart returns an ON value 
only if called during the first execution of a CL block following switchover.  
Background CLs can use this function as part of a failover detection and recovery 
process.  If, under normal running of an application, information on the state of the 
process has been recorded in CDS parameters, the program can use this information to 
recover and restart processing appropriately.  For more information about background 
CL in redundant AMs, refer to subsection 7.4 in Application Module Implementation 
Guidelines.",FALSE
CDS_Read,"CDS_Read (s, fm, p, n) 
This subroutine reads a Custom Data Segment (CDS) from a History Module or removable 
mediafile (see CDS_Write) and overwrites an existing CDS on the Bound Data Point.  It can only be called by a Background CL Block.   
Where: “s” will contain the return status of the read request 
 “fm” will contain additional status information for some failure types (see C.2.4   
 for removable media or remote LCN path identification) 
 “p” is the full pathname of the file from which the CDS values will be read  (must 
be uppercase) 
 “n” is the name of a CDS on the Bound Data Point (must be uppercase) 
 
This subroutine can overlay an existing CDS only when the structure of the source (stored) CDS and 
destination (existing) CDS match.  This means that both CDS must have the same number of 
parameters and the data type of each parameter must match.  Values in the parameters and names of 
the parameters can differ between the two CDS.  If the CDS structures do not match, CDS_Read will 
not overlay values in the existing CDS and will return a status value of MISMATCH. 
 
The only status values to be expected (for a complete listing see heading 4.11) are: 
 OK = successful read of CDS values 
 BADPATH = an invalid file path was specified 
 BADFILE = the specified file does not contain a CDS 
 MISMATCH = structures of the existing and file CDS do not match 
 NOCDS = the specified CDS does not exist 
 FMNOFIL = the specified file does not exist 
 FMHARD = the device on which the file is located reported a physical error condition 
 FMNOVOL = the specified volume does not exist 
 FMMOUNT = the specified volume is not mounted 
 FMOTHER = another type of File Manager error has occurred; the “fm” status 
argument contains a supplemental status code 
 
“fm” Status Information—There are several problems that the file manager can encounter that 
are caused by incorrect system configuration or by failures in system hardware or software.  
When one of these occurs, the “s” status value is set to FMOTHER and the “fm” status will 
contain a File Manager status number (see heading 4.10). ",TRUE
CDS_Write,"CDS_Write (s, fm, p, n, o) 
This subroutine writes an existing Custom Data Segment (CDS) to a History Module 
or removable media file.  It can only be called by a Background CL Block. Where: “s” will contain the return status of the write request 
 
 “fm” will contain additional status information for some failure types 
 “p” is the full pathname of the file to which the CDS will be written (see 
C.2.4) 
 “n” is the name of a CDS on the Bound Data Point (must be upper case) 
 “o” indicates whether the file should be overwritten if it already exists 
 
The CDS_Write subroutine allows the contents of an existing Custom Data Segment 
(CDS) to be stored in a file.  The CDS can subsequently be written over the original 
CDS or any in the AM of identical structure (see the CDS_Read routine). 
 
The only status values to be expected (for a complete listing see heading 4.11) are: 
 OK = successful store of CDS values 
 BADPATH = an invalid file path was specified 
 NOCDS = the specified CDS does not exist 
 CORRUPT = write of the CDS failed after the initial record was written to the 
file  The file exists, but it does not contain a complete CDS.  
Reading this file to a CDS will cause indeterminate results. 
 FMEXIST = the file already exists and the Overwrite option was not specified 
 FMNOFIL = the specified file does not exist 
 FMHARD = the device on which the file is located reported a physical error 
condition 
 FMFILES = no more files can be created on the specified volume 
 FMNOVOL = the specified volume does not exist 
 FMMOUNT = the specified volume is not mounted 
 FMVFULL = there is no more room on the specified volume 
 FMOTHER = another type of File Manager error has occurred; the “fm” status 
argument contains a supplemental status code 
 
“fm” Status Information—There are several problems that the file manager can 
encounter that are caused by incorrect system configuration or by failures in system 
hardware or software.  When one of these occurs, the “s” status value is set to 
FMOTHER and the “fm” status will contain a File Manager status number (see 
heading 4.10). ",TRUE
Comm_Error,"Comm_Error (x) 
Comm_Error accepts an argument that is an unsubscripted data point/parameter 
reference of any data type.  It returns ON if there is a communications error when this 
parameter is prefetched, OFF otherwise.  The data point may be on-LCN or off-LCN.  
If the data point is one that is not subject to prefetch, a communications error cannot 
happen and this function always returns OFF. 
 
This function is required for safe access to non-numeric parameters. 
 
The requirement for an unsubscripted reference means that you cannot use 
Comm_Error to test an element of a point's array parameter.  Use Comm Error on the 
entire parameter rather than just one element.  For example, Comm_Error(A100.x(3)) 
is wrong, but Comm_Error(A100.x) can be used in its place. 
 
Note:  HG boxes placed in TEST control mode return Comm_Error ON when the 
parameter requested is HG box resident (for example, MODE).  Otherwise, TEST 
control mode returns Comm_Error OFF when the parameter is HG resident (for 
example, PTEXECST). ",TRUE
